date,year,month,population,rainfall_mm,temperature_c,evaporation_mcm,total_demand_mcm,storage_baseline_mcm,storage_rain_minus3_mcm,storage_rain_minus5_mcm,stress_baseline,stress_rain_minus3,stress_rain_minus5,delta_storage,supply_mcm,storage_original_mcm,storage_reconstructed_mcm
2000-01-01,2000,1,661516,103.05,17.91,0.358,20.342,140.0,180.0,180.0,0.113,0.113,0.113,0.0,20.342,180.0,140.0
2000-02-01,2000,2,663405,84.24,19.72,0.394,28.142,132.48412344591162,180.291,179.858,0.156,0.156,0.156,0.9399999999999976,29.082,180.94,132.48412344591162
2000-03-01,2000,3,665294,87.5,23.85,0.477,30.467,117.50131468994184,168.914,168.127,0.179,0.18,0.181,-10.846000000000004,19.620999999999995,170.094,117.50131468994184
2000-04-01,2000,4,667184,69.41,23.58,0.472,33.043,91.65861291610236,155.795,154.641,0.21,0.212,0.214,-12.567999999999984,20.475000000000016,157.526,91.65861291610236
2000-05-01,2000,5,669073,20.49,22.82,0.456,31.432,75.23424536518024,136.418,134.973,0.227,0.23,0.233,-18.93900000000002,12.492999999999975,138.587,75.23424536518024
2000-06-01,2000,6,670962,12.34,20.25,0.405,27.034,56.18339271440236,108.704,107.172,0.244,0.249,0.252,-27.585999999999984,0.0,111.001,56.18339271440236
2000-07-01,2000,7,672851,21.28,17.54,0.351,21.775,40.069759275428396,83.778,82.194,0.253,0.26,0.265,-24.848,0.0,86.153,40.069759275428396
2000-08-01,2000,8,674740,22.2,15.3,0.306,14.414,31.332341592877725,65.987,64.314,0.21,0.218,0.224,-17.65700000000001,0.0,68.496,31.332341592877725
2000-09-01,2000,9,676629,39.83,12.67,0.253,11.431,27.238662779449605,55.789,54.023,0.196,0.205,0.212,-10.057999999999993,1.3730000000000064,58.438,27.238662779449605
2000-10-01,2000,10,678518,51.47,12.23,0.245,8.7,27.892468993230782,52.218,50.285,0.158,0.167,0.173,-3.3200000000000003,5.379999999999999,55.118,27.892468993230782
2000-11-01,2000,11,680408,88.79,13.06,0.261,8.696,37.05436873697866,53.758,51.608,0.153,0.162,0.169,1.8639999999999968,10.559999999999995,56.982,37.05436873697866
2000-12-01,2000,12,682297,102.42,15.92,0.318,13.615,45.42735911261678,62.888,60.365,0.204,0.216,0.226,9.689000000000007,23.30400000000001,66.671,45.42735911261678
2001-01-01,2001,1,684186,100.66,17.79,0.356,20.96,52.66794560670864,69.817,66.864,0.282,0.3,0.313,7.574999999999989,28.53499999999999,74.246,52.66794560670864
2001-02-01,2001,2,686140,105.91,20.0,0.4,27.384,60.87990868564687,69.006,65.63,0.37,0.397,0.417,-0.1769999999999925,27.207000000000008,74.069,60.87990868564687
2001-03-01,2001,3,688094,84.68,23.97,0.479,31.953,56.523146535350286,62.797,58.976,0.466,0.509,0.542,-5.542000000000002,26.411,68.527,56.523146535350286
2001-04-01,2001,4,690048,51.41,23.8,0.476,34.04,53.04324571050658,47.612,43.436,0.632,0.715,0.784,-14.651000000000003,19.389,53.876,53.04324571050658
2001-05-01,2001,5,692001,43.69,24.01,0.48,32.4,35.19246391232436,23.568,19.176,1.074,1.375,1.69,-23.721,8.679000000000002,30.155,35.19246391232436
2001-06-01,2001,6,693955,15.77,21.3,0.426,28.797,27.297086156940303,0.0,0.0,4.465,28796500.29,28796500.29,-23.706000000000003,5.0909999999999975,6.449,27.297086156940303
2001-07-01,2001,7,695909,28.78,17.94,0.359,20.579,23.867359637044412,0.0,0.0,20579103.74,20579103.74,20579103.74,-6.449,14.13,0.0,23.867359637044412
2001-08-01,2001,8,697863,24.86,15.27,0.305,14.615,28.642347038337967,0.0,0.0,14615477.74,14615477.74,14615477.74,0.0,14.615,0.0,28.642347038337967
2001-09-01,2001,9,699817,38.15,14.2,0.284,9.824,37.156344707746634,0.0,0.0,9824452.118,9824452.118,9824452.118,0.0,9.824,0.0,37.156344707746634
2001-10-01,2001,10,701770,53.19,13.48,0.27,9.677,36.97895466409051,0.0,0.0,9677015.666,9677015.666,9677015.666,0.0,9.677,0.0,36.97895466409051
2001-11-01,2001,11,703724,92.23,12.88,0.258,11.852,47.63962625407868,0.888,0.665,9.688,13.343,17.827,1.223,13.075,1.223,47.63962625407868
