date,year,month,population,rainfall_mm,temperature_c,inflow_mcm,losses_mcm,supply_mcm,domestic_demand_mcm,agricultural_demand_mcm,industrial_demand_mcm,total_demand_mcm,storage_mcm,stress_index_demand_over_supply,stress_index_demand_over_storage,scenario
2000-01-01,2000,1,661516,93.66,17.14,16.353,2.27,14.083,2.332,11.499,3.14,16.971,150.0,1.205,0.113,virtual_water
2000-02-01,2000,2,663405,72.83,20.48,14.062,2.503,11.559,2.458,19.737,3.371,25.566,147.112,2.212,0.174,virtual_water
2000-03-01,2000,3,665294,81.51,23.54,13.002,2.706,10.296,2.575,23.565,3.729,29.869,133.105,2.901,0.224,virtual_water
2000-04-01,2000,4,667184,66.29,23.85,12.979,2.675,10.304,2.594,23.699,3.158,29.45,113.532,2.858,0.259,virtual_water
2000-05-01,2000,5,669073,14.09,23.46,5.256,2.57,2.686,2.587,19.683,3.453,25.723,94.385,9.577,0.273,virtual_water
2000-06-01,2000,6,670962,9.06,21.29,0.336,2.348,0.0,2.516,17.804,3.295,23.615,71.348,23615220.46,0.331,virtual_water
2000-07-01,2000,7,672851,21.53,19.06,1.547,2.106,0.0,2.442,15.479,3.528,21.449,47.733,21449130.889,0.449,virtual_water
2000-08-01,2000,8,674740,20.89,14.73,3.68,1.735,1.945,2.291,5.666,3.403,11.36,26.283,5.841,0.432,virtual_water
2000-09-01,2000,9,676629,37.3,11.62,5.489,1.447,4.042,2.184,4.923,3.869,10.976,16.868,2.715,0.651,virtual_water
2000-10-01,2000,10,678518,44.76,12.85,7.359,1.447,5.912,2.235,2.584,3.627,8.446,9.935,1.429,0.85,virtual_water
2000-11-01,2000,11,680408,83.05,12.54,12.502,1.371,11.131,2.23,6.305,3.172,11.707,7.4,1.052,1.582,virtual_water
2000-12-01,2000,12,682297,94.64,15.89,16.135,1.505,14.63,2.359,8.19,3.668,14.217,6.824,0.972,2.083,virtual_water
2001-01-01,2001,1,684186,90.79,18.34,16.849,1.614,15.235,2.456,14.541,3.327,20.324,7.237,1.334,2.808,virtual_water
2001-02-01,2001,2,686140,98.84,20.93,15.985,1.745,14.24,2.559,19.755,3.377,25.691,2.147,1.804,11.964,virtual_water
2001-03-01,2001,3,688094,78.11,23.51,13.82,1.761,12.059,2.662,24.954,3.599,31.216,0.0,2.589,31216246.717,virtual_water
2001-04-01,2001,4,690048,44.69,25.59,8.7,1.719,6.982,2.748,23.852,3.398,29.998,0.0,4.297,29998234.819,virtual_water
2001-05-01,2001,5,692001,41.93,24.89,7.713,1.689,6.024,2.729,23.202,3.744,29.676,0.0,4.926,29675571.742,virtual_water
2001-06-01,2001,6,693955,13.18,21.09,4.812,1.53,3.282,2.594,17.294,3.327,23.216,0.0,7.073,23215737.956,virtual_water
2001-07-01,2001,7,695909,30.54,18.16,4.088,1.407,2.682,2.492,15.484,3.366,21.342,0.0,7.959,21342489.088,virtual_water
2001-08-01,2001,8,697863,24.09,15.89,2.553,1.311,1.242,2.413,8.123,3.357,13.894,0.0,11.189,13893584.871,virtual_water
2001-09-01,2001,9,699817,35.28,12.16,4.224,1.155,3.069,2.279,4.688,3.38,10.347,0.0,3.371,10346739.16,virtual_water
2001-10-01,2001,10,701770,46.83,12.3,6.922,1.16,5.762,2.291,3.989,3.796,10.076,0.0,1.749,10075684.782,virtual_water
